positive,negative,rating,comments,category,comments_preprocessed
Lokacija,"Hladan, prljav",2,"Lokacija Hladan, prljav",negativan,lokacija hladan prljav
"Apartman , cist i uredan , sve pohvale ..",Parking ! Kao prvo nije bezbjedan . Insistiraju da se parkirarate skroz do zida .. zaposlena nas je bukvalno maltretirala i vracala 3 puta da auto bude skroz do zida kako je ona zamislila . Pritom  umalo smo ostetili auto .. jer je parking u suterenu i ni malo nije bezbjedan ..,3,"Apartman , cist i uredan , sve pohvale .. Parking ! Kao prvo nije bezbjedan . Insistiraju da se parkirarate skroz do zida .. zaposlena nas je bukvalno maltretirala i vracala 3 puta da auto bude skroz do zida kako je ona zamislila . Pritom  umalo smo ostetili auto .. jer je parking u suterenu i ni malo nije bezbjedan ..",negativan,apartman cist uredan sav pohvati parking kao prvo bezbjedan insistirati parkirarati skroziti do zid zaposlen bukvalno maltretirati vracati auto skroz do zid zamisliti prita umati ostetiti auto parking suteren malo bezbjeda n
Nista najgore mjesto na koje sam ikad posjetio,"Soba u kojj sam bio nema prirodnu svjetlost nasprem terase je zid u tunelu  ste. Coca cola u mini baru istekao rok. Rezervisa sam dvije sobe ispostavilo se da jedna nema dorucak i onda je naplacem iako od nas cetvero dvoje nije bilo na dorucku, al kako rekose iz pogresne sobe. Konobarica sa frckavom kosom nevjerobatno neljubazna, kolega konobar nas je cak vrjedjao, a brkati recepcioner nije se ni potrudio odgovoriti na nase primjedbe vec je dodatno bio neprijatan. Jos sam u soku da ovakvi uposleni postoje...",1,"Nista najgore mjesto na koje sam ikad posjetio Soba u kojj sam bio nema prirodnu svjetlost nasprem terase je zid u tunelu  ste. Coca cola u mini baru istekao rok. Rezervisa sam dvije sobe ispostavilo se da jedna nema dorucak i onda je naplacem iako od nas cetvero dvoje nije bilo na dorucku, al kako rekose iz pogresne sobe. Konobarica sa frckavom kosom nevjerobatno neljubazna, kolega konobar nas je cak vrjedjao, a brkati recepcioner nije se ni potrudio odgovoriti na nase primjedbe vec je dodatno bio neprijatan. Jos sam u soku da ovakvi uposleni postoje...",negativan,nista zlo mjesto ikad posjetiti soba kojj nemati prirodan svjetlost nasprem teras zid tunel coca cola mina bara isteći rok rezervis dvija soba ispostaviti nemati dorucak onda naplaca cetveriti dvoje dorucka al reći pogrestan soba konobarica frckava kosa nevjerobatno neljubazan kolega konobar cak vrjedjati brkat recepcioner potruditi odgovoriti primjedba dodatno neprijatan jos sok ovakav uposliti postojati
Samo prking,Kljma u hodniku i malo kupatilo,1,Samo prking Kljma u hodniku i malo kupatilo,negativan,prking klj hodnik malo kupatilo
Dobra lokacija.,"Krevet za dete nije namešten iako smo na recepciji podneli zahtev. posle druge molbe da donesu kompet posteljine za dete, nisu doneli jer su rekli da nemaju čistu posteljinu. 
Kada smo se odjavili na recepciji nam nisu izdali račun. Nakon zahteva i ubeđivanja izdali su nam račun.",3,"Dobra lokacija. Krevet za dete nije namešten iako smo na recepciji podneli zahtev. posle druge molbe da donesu kompet posteljine za dete, nisu doneli jer su rekli da nemaju čistu posteljinu. 
Kada smo se odjavili na recepciji nam nisu izdali račun. Nakon zahteva i ubeđivanja izdali su nam račun.",negativan,dobar lokacija krevet dete nameštiti recepcija podneti zahtev posle drugi molba doneti kompet posteljina dete doneti reći nemati čist posteljina odjaviti recepcija izdati račun zahtev ubeđivanje izdati rač n
"Osoblje-kompetentni i izuzetno ljubazni
Krevet- vrlo udoban
Lokacija-odlicna","-nije nam obezbedjen parking u okviru hotela bez obzira na rezervaciju i potvrdu mail-om
-terasa katastrofa,nedopustivo za hotel sa 4*",3,"Osoblje-kompetentni i izuzetno ljubazni
Krevet- vrlo udoban
Lokacija-odlicna -nije nam obezbedjen parking u okviru hotela bez obzira na rezervaciju i potvrdu mail-om
-terasa katastrofa,nedopustivo za hotel sa 4*",negativan,osobljekompenentan izuzetno ljubazan krevet udoban lokacijaodlican obezbediti parking okvir hotel obzir rezervacija potvrda mail teras katastrofanedopustivo hotel
,"Veliko razočarenje... Devojka na recepciji koja nas je dočekala uveče dala nam je sobu koja je bila sa malom mini terasom koju kada otvorite kao da ste u filmu strave i užasa, sve se raspada prljava je, prozor od neke prostorije koji je otvoren pun smeća,opušaka od cigareta i sav oronuo stvarno haos. Rekli su da nemaju slobodnih soba da je hotel pun i dali nam jednokrevetnu sobu iako smo tražili dvokrevetnu. Navodno će ujutru učiniti sve kako bi nam obezbedili drugu sobu koja je dvokrevetna i bolja od ove u koju su nas smestili,naravno to se nije dogodilo nit nas je ko upitao bilo šta vezano za sobu. Osoblje na recepciji jako neljubazno i neprofesionalno. U kupatilu nismo imali šampon za tuširanje tačnije imali smo praznu bocu od šampona, koju niko nije zamenio tako jr i ostalo kada smo pošli.Tražio sam da mi se produži boravak od par sati naravno uz doplatu,pare su uzeli a ključ od sobe odjavili u 11 sati,kada sam se vratio u hotel nisam mogao da udjem u sobu. Ne znam šta više reći osim da sam doživeo veliko razočarenje. Nikom ne preporučujem ovaj hotel.",1," Veliko razočarenje... Devojka na recepciji koja nas je dočekala uveče dala nam je sobu koja je bila sa malom mini terasom koju kada otvorite kao da ste u filmu strave i užasa, sve se raspada prljava je, prozor od neke prostorije koji je otvoren pun smeća,opušaka od cigareta i sav oronuo stvarno haos. Rekli su da nemaju slobodnih soba da je hotel pun i dali nam jednokrevetnu sobu iako smo tražili dvokrevetnu. Navodno će ujutru učiniti sve kako bi nam obezbedili drugu sobu koja je dvokrevetna i bolja od ove u koju su nas smestili,naravno to se nije dogodilo nit nas je ko upitao bilo šta vezano za sobu. Osoblje na recepciji jako neljubazno i neprofesionalno. U kupatilu nismo imali šampon za tuširanje tačnije imali smo praznu bocu od šampona, koju niko nije zamenio tako jr i ostalo kada smo pošli.Tražio sam da mi se produži boravak od par sati naravno uz doplatu,pare su uzeli a ključ od sobe odjavili u 11 sati,kada sam se vratio u hotel nisam mogao da udjem u sobu. Ne znam šta više reći osim da sam doživeo veliko razočarenje. Nikom ne preporučujem ovaj hotel.",negativan,velik razočarenje devojka recepcija dočekati uveče dati soba mali mina teras otvoriti kao film strava užasti sav raspad prljavati prozor prostorija otvoriti pun smećaopušak cigareta sav oronuti stvaran haos reći nemati slobodan soba hotel pun dati jednokrevetan soba tražiti dvokrevetan navodno ujutru učiniti sav obezbediti drugi soba dvokrevetan dobar ovaj smestilinaran dogoditi nit upitati vezan soba osoblje recepcija jako neljubazan neprofesionalan kupatila imati šampon tuširanje tačno imati prazni boca šampon zameniti jr ostali pošlitražiti produžiti boravak par sat naravno doplatupar uzeti ključ soba odjaviti satikad vratiti hotel moći udjeti soba mnogo reći osim doživeti velik razočarenje preporučivati ovaj hotel
"Higijena je ok, kao i lokacija. Sve ostalo jako loše.","Pod škripi, o krevetu da ne pričam.. imate utisak da će se raspasti. Zvučna izolacija ne postoji. Nećete spavati.",2,"Higijena je ok, kao i lokacija. Sve ostalo jako loše. Pod škripi, o krevetu da ne pričam.. imate utisak da će se raspasti. Zvučna izolacija ne postoji. Nećete spavati.",negativan,higiti ok kao lokacija ostali jako loše škripati krevet pričati imati utisak raspastiti zvučan izolacija postojati spavati
"Ništa,odnos katastrofa slali policijo na mene..",Ništa.,1,"Ništa,odnos katastrofa slali policijo na mene.. Ništa.",negativan,ništaodnos katastrofa slagiti policijo ništa
Dvoriste i pogled su ok.,"Kuhinja-2 serpe i 3 tupa noza,
Kupatilo uzas sve curi na sve strane,povuces vodu operes noge 2u1
Tv ne radi
Signal za telefon -nema jedino roming
Komarnici ne pistoje a komarci ko rode
Plafonjera u kuhinji nije oprana od kada je postavljena cc 10 godina
Roletne pola ne mogu da se dignu
Unutra vikendice se oseti memla
Drva nema za paprikas
Camac koji je slikala - nema
Mol nije kao na slikama( slikala tudj mol)
Prilaz u dvoriste je zemljani sa nagibom od 40 stepeni tako da na vlazno i mokro vreme nema sanse da isterate auto
Kuca se nalazi u neposrednoj blizini krivine tako da ni izlaz autom ( ako uspete) nije bezbedan.
Ne postoji besplatno otkazivanje rezervacije
Puno para za nista.
Jednom recju UZAS!!!!",1,"Dvoriste i pogled su ok. Kuhinja-2 serpe i 3 tupa noza,
Kupatilo uzas sve curi na sve strane,povuces vodu operes noge 2u1
Tv ne radi
Signal za telefon -nema jedino roming
Komarnici ne pistoje a komarci ko rode
Plafonjera u kuhinji nije oprana od kada je postavljena cc 10 godina
Roletne pola ne mogu da se dignu
Unutra vikendice se oseti memla
Drva nema za paprikas
Camac koji je slikala - nema
Mol nije kao na slikama( slikala tudj mol)
Prilaz u dvoriste je zemljani sa nagibom od 40 stepeni tako da na vlazno i mokro vreme nema sanse da isterate auto
Kuca se nalazi u neposrednoj blizini krivine tako da ni izlaz autom ( ako uspete) nije bezbedan.
Ne postoji besplatno otkazivanje rezervacije
Puno para za nista.
Jednom recju UZAS!!!!",negativan,dvorist pogled ok kuhinje serpa tup nozati kupatilo uzas sav curiti sav stranepovuces voda opereti noga tv raditi signal telefon nemati jedino roming komarnik pistojati komarka roditi plafonjer kuhinja oprani postaviti cc godina roletan pola moći dignuti unutar vikendica osetiti memlo drvo nemati paprikas camac slikati nemati mol kao slika slikati tud mol prilaz dvorist zemljan nagiba stepen vlazan mokar vreme nemati sansa isterati auto kuc nalaziti neposredan blizina krivina izlaz aut uspeti bezbedan postojati besplatan otkazivanje rezervacija puno par nista recja uzas
SUPER SVE HVALA PUNO 💋💋💋,Nista 🤪,2,SUPER SVE HVALA PUNO 💋💋💋 Nista 🤪,negativan,super hvati puno nista
Osoblje i velicina kompleksa,"Hladan apartman,4 sata nisu rragovali na prijavu da ne radi grejanje. Macke setaju po restoranu,pas lezu na sred toaleta,muve po hrani.",3,"Osoblje i velicina kompleksa Hladan apartman,4 sata nisu rragovali na prijavu da ne radi grejanje. Macke setaju po restoranu,pas lezu na sred toaleta,muve po hrani.",negativan,osoblje velicina kompleks hladan apartman sat rragovati prijava raditi grejanje macka setati restoranupas leza sred toaletamuva hrana
,"Preglasna muzika😟
Neudoban krevet jako🥴
Nema grejanje u kupatilu😵
Nema papuca🤭
Slaba komunikacija sa recepcijom🥴
Voda izvire sama od nekud u kupatilu 🥴🥴🥴",3," Preglasna muzika😟
Neudoban krevet jako🥴
Nema grejanje u kupatilu😵
Nema papuca🤭
Slaba komunikacija sa recepcijom🥴
Voda izvire sama od nekud u kupatilu 🥴🥴🥴",negativan,preglasan muzika neudoban krevet jako nemati grejanje kupatila nemati papuca slab komunikacija recepcija voda izviriti nekud kupatila
Sobe su prostarne i uredne.,"Na mog petogodišnjeg sina je pao tobogan koji nije bio zašrafljen te je povredio glavu (išli smo na hitnu i kod dečjeg hirurga na ušivanje). Velika jedinica za nebrigu i neodgovornost menadžmenta, a osoblju takođe minus koji su odmah nakon incidenta, na krvav tobogan,  pustili drugu decu da se igraju
Ne smem ni da zamislim šta je gore moglo da se desi.",1,"Sobe su prostarne i uredne. Na mog petogodišnjeg sina je pao tobogan koji nije bio zašrafljen te je povredio glavu (išli smo na hitnu i kod dečjeg hirurga na ušivanje). Velika jedinica za nebrigu i neodgovornost menadžmenta, a osoblju takođe minus koji su odmah nakon incidenta, na krvav tobogan,  pustili drugu decu da se igraju
Ne smem ni da zamislim šta je gore moglo da se desi.",negativan,soba prostaran uredni petogodišnji sin pasti tobogan zašrafiti povrediti glav ići hitan kod deo hirurg ušivanje velik jedinica nebriga neodgovornost menadžment osoblje takođe minus incident krvav tobogan pustiti drugi deca igrati smeti zamisliti moći desiti
Lokacija,"Ne mijenjaju peskire , ne dopunjavaju mini bar",3,"Lokacija Ne mijenjaju peskire , ne dopunjavaju mini bar",negativan,lokacija mijenjati peskira dopunjavati mina bar
Lokacija je top,Sve je staro i kreveti smrde na znoj i ko zna sta vise. Nema klime. Trebali smo da budemo 2 noci ali posle prve smo nasli drugi smestaj i otisli.,1,Lokacija je top Sve je staro i kreveti smrde na znoj i ko zna sta vise. Nema klime. Trebali smo da budemo 2 noci ali posle prve smo nasli drugi smestaj i otisli.,negativan,lokacija top sav star kreveti smrda znoj mnogo nemati klime trebati noka posle nasliti drugi smestaj otisao
Lokacija,"Stepeniste nije bezbedno,cak sta vise rizicno...jastuci isuvise tvrdi,visoki...dusek neudoban.Grejanje je na klimu,neprimereno zimskom periodu,kupatilo hladno bez grejanja.",2,"Lokacija Stepeniste nije bezbedno,cak sta vise rizicno...jastuci isuvise tvrdi,visoki...dusek neudoban.Grejanje je na klimu,neprimereno zimskom periodu,kupatilo hladno bez grejanja.",negativan,lokacija stepenista bezbednocak vise rizicnojastuca isuvisiti tvrdivisokidusek neudobangrejanje klimuneprimeren zimski periodukupatilo hladno grejanje
Nista,"Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",1,"Nista Sobe hladne, gazda iskljucio struju, ulazio u sobe dok nismo bili mi tu. Kupatilo nikakvo, tv ne radi, wifi ne radi.",negativan,nista soba hladan gazda iskljuciti strujati ulaziti soba kupatilo nikakav tv raditi wifi raditi
"Nista,nisam bio u tom objektu.Prebacili nas u drugi objekat!",Kao nije radilo grejanje u toj sobi.Prebacili nas u drugi objekat koji je jeftiniji 20e a uzeli nam 50e.Sramota.,1,"Nista,nisam bio u tom objektu.Prebacili nas u drugi objekat! Kao nije radilo grejanje u toj sobi.Prebacili nas u drugi objekat koji je jeftiniji 20e a uzeli nam 50e.Sramota.",negativan,nistanisati objektuprebati drugi objekat kao raditi grejanje sobiprebaciti drugi objekat jeftinijak e uzeti esramot
"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar.",Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba.,2,"Dolazimo ovde uvek kad smo u Bgd.Zaista lep hotel,čist.Doručak dobar. Buka.Da li je loša izolacija ili loši kreveti.Celu noc nije moglo da se spava  od vriske i lomljenja kreveta iz susednih soba.",negativan,dolaziti ovde uvek kad bgdzaist lep hotelčistdoručak dobar bukad loš izolacija loši kreveticela noc moći spavati vriski lomljenje krevet susedan soba
Lokacija,"Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",3,"Lokacija Nema dovoljno obezbeđenog parkinga
Zagusljiva neizluftirana soba neugodan boravak u istoj",negativan,lokacija nemati dovoljno obezbediti parking zagusljiv neizluftiran soba neugodan boravak isti
Doručak je bio odličan i higijena hotela,"Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",3,"Doručak je bio odličan i higijena hotela Bazen nismo mogli da koristimo jer je bila školica plivanja to nigde nije pisalo da se bazen ne moze koriatiti subotom pre podne. Verovatno ne bih rezervisao. Sobe minijaturne, delimicno renovirane, neudobne. Osoblje nezainteresovano. Imali smo problem sa kreditnom karticom, ali službenica umesto da pomogne (problem je bio u hotelskom terminalu) je rekla ne znam a da vi platite u kesu. Sve u svemu nista za te pare...",negativan,doručak odličan higiti hotel bazen moći koristiti školica plivanje nigde pisati bazen moći koriatiti subota podna verovatno rezervisati soba minijaturan delimicno renoviran neudoban osoblje nezainteresovati imati problem kreditan kartica službenica umesto pomoći problem hotelski terminal reći platiti kes sav nista para
,"Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",3," Gospođa, koja je radila za recepcijom u popodnevnoj smeni, bila je jako ljubazna i predusretljiva sve pohvale za nju. Međutim, recepcioner u noćnoj smeni, Stefan mislim da mu je ima, prvo nije nas pozvao, a imale smo naručeno buđenje za avion rano ujutru, što znači da je bilo do njega propustile bismo avion,  onda je bio jako neljubazan i kad smo mu objašnjavale da imamo zakazan taksi do aerodroma.",negativan,gospođ raditi recepcija popodnevan smeni jako ljubazan predusretljiv sav pohvati međutim recepcioner noćni smeni stefan misliti imati prvo pozvati imati naručiti buđenje avion rano ujutru značiti do propustiti avion onda jako neljubazan kad objašnjavati imati zakazan taksi do aerodrom
Dorucak ok,Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,3,Dorucak ok Katastrofa  sauna i bazen odvratno prljave pločice sa zalepljenim slinama tusevi puni dlaka uzas!!!,negativan,dorucak ok katastrofa saunati bazen odvratno prljaviti pločica zalepljen slina tusev puni dlak uzas
,"Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!",1," Sobarica mi je ukrala novac, trazio sam na recepciji da mi vrate kamere, rekli su da kamere u hodniku ne pokrivaju ulaz u moju sobu.
Strasno,vodite racuna!",negativan,sobarica ukrati novac traziti recepcija vratiti kamera reći kamera hodnik pokrivati ulaz soba strasnovoditi racuna
