positive,negative,rating,comments,category,comments_preprocessed
"Preporuka za profesionalnost i uslugu!
Apartmani koji se nalaze u centru Beograda, čistoća i odlična cena.
Svakako da naglasim i sve pohvale za uslugu transfera .
Vidimo se opet uskoro!!",,10,"Preporuka za profesionalnost i uslugu!
Apartmani koji se nalaze u centru Beograda, čistoća i odlična cena.
Svakako da naglasim i sve pohvale za uslugu transfera .
Vidimo se opet uskoro!! ",pozitivan,preporuka profesionalnost usluga apartman nalaziti centar beograda čistoć odličan cena svakako naglasiti sav pohvati usluga transfera videti opet uskoro
"Sve pohvale za apartman. Higijena na zavidnom nivou. Lokacija savršena,bukvalno vam je sve na dohvat ruke. Sve pohvale za osoblje na recepciji koji su tu za vas 24 sata. Rado ću opet da se vratim. I preporuka za sve one koje žele savršen odmor i uživanje.",,10,"Sve pohvale za apartman. Higijena na zavidnom nivou. Lokacija savršena,bukvalno vam je sve na dohvat ruke. Sve pohvale za osoblje na recepciji koji su tu za vas 24 sata. Rado ću opet da se vratim. I preporuka za sve one koje žele savršen odmor i uživanje. ",pozitivan,sav pohvati apartman higilen zavidan nivo lokacija savršenabukvalno sav dohvat ruka sav pohvati osoblje recepcija sat rado opet vratiti preporuka sav onaj želeti savršiti odmor uživanje
Sve ..,,10,Sve .. ,pozitivan,sav
"Sve je izvanredno, osoblje, smestaj, cistoca, udobnost i prostranost. Uvek cu se rado vratiti.",,10,"Sve je izvanredno, osoblje, smestaj, cistoca, udobnost i prostranost. Uvek cu se rado vratiti. ",pozitivan,sav izvanredan osoblje smestaj cistoc udobnost prostranost uvek rado vratiti
"Izuzetno cisto, apartman opremljen sa svim sto je potrebno, lokacija izvanredna",Problem s tusem na kojem je teko regulisati toplotu vode,10,"Izuzetno cisto, apartman opremljen sa svim sto je potrebno, lokacija izvanredna Problem s tusem na kojem je teko regulisati toplotu vode",pozitivan,izuzetno cisto apartman opremiti sav sto potreban lokacija izvanredni problem tusem teko regulisati toplot voda
"Prostrana jedinica, ima sve sto je potrebno od sadrzaja.
Cisto i udobno",Cena moze biti malo povoljnija,9,"Prostrana jedinica, ima sve sto je potrebno od sadrzaja.
Cisto i udobno Cena moze biti malo povoljnija",pozitivan,prostran jedinica imati sav sto potreban sadrzaj cisto udoban cena moći malo povoljan
Lokacija,"Taman, poluuredno, u trosed smo nasli stravi od predhodnih vlasnika, posteljina iscepana.",7,"Lokacija Taman, poluuredno, u trosed smo nasli stravi od predhodnih vlasnika, posteljina iscepana.",pozitivan,lokacija taman poluuredni trosed nasliti strava predhodan vlasnik posteljina iscepati
"Lokacija, velicina apartmana, enterijer je ok, ali ne i u skladu sa cenom.","1. Cistoca - povedite racuna o cistoci kupatila
2. zaposlena je naplatila boravisnu taksu samo zato sto ne zna a ocita licnu kartu - misli da je ocitavanje isto sto i skeniranje, ne zna za pojam ""ocitati licnu kartu"" (adresa sa cipa je iz Beograda i taksa nije podlozna placanju samim tim, pa je imala komentar ""jel vam skupo da platite taksu"" - nije poenta u ceni vec poznavanju rada i ljubaznosti)
3. Naplata paodrkinga od 10e od uvece do ujutru je neprihvatljiva, narocito sto nije parking u garazi vec je auto bio izlozen na suncu
4. Cena vs kvalitet usluge nije relevantna",6,"Lokacija, velicina apartmana, enterijer je ok, ali ne i u skladu sa cenom. 1. Cistoca - povedite racuna o cistoci kupatila
2. zaposlena je naplatila boravisnu taksu samo zato sto ne zna a ocita licnu kartu - misli da je ocitavanje isto sto i skeniranje, ne zna za pojam ""ocitati licnu kartu"" (adresa sa cipa je iz Beograda i taksa nije podlozna placanju samim tim, pa je imala komentar ""jel vam skupo da platite taksu"" - nije poenta u ceni vec poznavanju rada i ljubaznosti)
3. Naplata paodrkinga od 10e od uvece do ujutru je neprihvatljiva, narocito sto nije parking u garazi vec je auto bio izlozen na suncu
4. Cena vs kvalitet usluge nije relevantna",neutralan,lokacija velicina apartman enterijer ok sklad cena cistoc povediti racunati cistoc kupatilo zaposlen naplatiti boravisan taksa zato sto ociti lican karta misliti ocitavanje isto sto skeniranje pojam ocitati lican karta adres cip beograda taksa podlozan placanje imati komentar jel skupo platiti taksa poent cena poznavanje rad ljubaznost naplat paodrking e uveca do ujutru neprihvatljiv narocito sto parking garaz auto izloziti sunce cena vs kvalitet usluga relevantan
,"Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",1," Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",negativan,razočaran apartman drugi zgrada rezervisati obavestiti bitno izgleda uzmati novac tuš kabina premalenavrat tuš kabina spasti tokom tuširanjavrat frižider skoro otpalasveti klikneti prekidač upaliti eksplodirati svetlo svakako raditi blizak kao diskoteka otvoriti ladica stajati nožev viljuški kašika uzmeti kašika morati operati zatim isti koristimneverovati prilikom odjavljivanje udostojiti piti kakav boravak sav red ipak soba drugi zgrada zadovoljan preporučivati boraviti ovaj smeštati
Sve je bilo savrseno! Sigurno cemo doci ponovo ❤️,,10,Sve je bilo savrseno! Sigurno cemo doci ponovo ❤️ ,pozitivan,sav savrsiti sigurno dot ponovo
Dorucak je bio ok.,Sve je bilo bozanstveno . ❤️,10,Dorucak je bio ok. Sve je bilo bozanstveno . ❤️,pozitivan,dorucak ok sav bozanstven
,Slaba klimatizacija sobe,8, Slaba klimatizacija sobe,pozitivan,slab klimatizacija soba
Dorucak je bio izuzetan,,9,Dorucak je bio izuzetan ,pozitivan,dorucak izuzetan
"Provela sam u Woodlandu noc pre i noc posle svadbe. Osoblje je izuzetno. Dozvolili su da dodje fotograf da nas slika, imali smo ceo Resort na raspolaganju.",,10,"Provela sam u Woodlandu noc pre i noc posle svadbe. Osoblje je izuzetno. Dozvolili su da dodje fotograf da nas slika, imali smo ceo Resort na raspolaganju. ",pozitivan,provesti woodland noc noc posle svadbi osoblje izuzetno dozvoliti dodjati fotograf slika imati ceo resort raspolaganje
Sve je bilo izvrsno. Osoblje je preljubazno. Sigurno ćemo se ponovo vratiti.,,10,Sve je bilo izvrsno. Osoblje je preljubazno. Sigurno ćemo se ponovo vratiti. ,pozitivan,sav izvrsno osoblje preljubazan siguran ponovo vratiti
Osoblje je izuzetno ljubazno. Sadrzaj resorta je veoma dobar.,,9,Osoblje je izuzetno ljubazno. Sadrzaj resorta je veoma dobar. ,pozitivan,osoblje izuzetno ljubazan sadrzaj resort veoma dobar
bazen je odlican apartman takodje osoblje vrlo korektno pozicija objekta odlicna sadrzaj dobar,,8,bazen je odlican apartman takodje osoblje vrlo korektno pozicija objekta odlicna sadrzaj dobar ,pozitivan,bazen odlicati apartman takodji osoblje korestan pozicija objekt odlican sadrzaj dobar
"Interesantna lokacija, rustičnim stil, dovoljno prostora","Paučina, prašina, neudoban dušek. Tokom noći nije bilo vode.",5,"Interesantna lokacija, rustičnim stil, dovoljno prostora Paučina, prašina, neudoban dušek. Tokom noći nije bilo vode.",neutralan,interesantan lokacija rustičan stil dovoljno prostor paučinati prašina neudoban dušek tokom noć voda
"Dorucak je odlican, bogat, lepo spremljen uvek, osoblje je jako ljubazno i zeli da izadje u susret. Sobe su kada se dodje uredne, posteljina koju gosti dobiju je cista, ima peskira, bade mantila, peskira za bazen. Bazen izgleda divno, danju a i nocu sa osvetljenjem. Hrana je generalno odlicna.","Bazen je bio prehladan, svakoga dana, neocekivano za letnji period sa jakim vrucinama. Vodokotlic radi na gurku, nije da ne radi ali mora da se pogura sa premestanjem i pozicioniranjem. Vikendom su zurke i to je lepo napisano i najavljeno ali izgleda da su i radnim danima, jedno vece je bilo do 1 i ne toliko glasno, dok je na primer u sredu bilo jako glasno sa ekipom mladih ljudi koji su pustali muziku i drali se do 04. Nije zahvalno za radni odmor. Niko nije menjao posteljinu, peskire, sredjivao sobu, iznosio djubre, to izgleda da je izostavljeno skroz iz usluge.",7,"Dorucak je odlican, bogat, lepo spremljen uvek, osoblje je jako ljubazno i zeli da izadje u susret. Sobe su kada se dodje uredne, posteljina koju gosti dobiju je cista, ima peskira, bade mantila, peskira za bazen. Bazen izgleda divno, danju a i nocu sa osvetljenjem. Hrana je generalno odlicna. Bazen je bio prehladan, svakoga dana, neocekivano za letnji period sa jakim vrucinama. Vodokotlic radi na gurku, nije da ne radi ali mora da se pogura sa premestanjem i pozicioniranjem. Vikendom su zurke i to je lepo napisano i najavljeno ali izgleda da su i radnim danima, jedno vece je bilo do 1 i ne toliko glasno, dok je na primer u sredu bilo jako glasno sa ekipom mladih ljudi koji su pustali muziku i drali se do 04. Nije zahvalno za radni odmor. Niko nije menjao posteljinu, peskire, sredjivao sobu, iznosio djubre, to izgleda da je izostavljeno skroz iz usluge.",pozitivan,dorucak odlicati bogat lepo spremiti uvek osoblje jako ljubazan zeleti izadjati susret soba dodjati uredni posteljina gost cist imati peskirati bada mantil peskir bazen bazen izgleda divan danju noca osvetljenje hrana generalno odlican bazen prehladan svaki dan neocekivan letnji period jak vrucina vodokotlic raditi gurka raditi morati pogurati premestanje pozicioniranje vikenda zurka lepo napisati najaviti izgledati radni dan vece do toliko glasno primer sreda jako glasan ekipa mlad čovek pustati muzika dragiti do zahvalan radni odmor menjati posteljina peskira sredjivati soba iznositi djubre izgleda izostaviti skroziti usluga
"Predivni domaćini, predivni objekti, čisto, udobno, sređeno, fenomenalno za decu. O pogledu i prirodi da ne pričamo...",,10,"Predivni domaćini, predivni objekti, čisto, udobno, sređeno, fenomenalno za decu. O pogledu i prirodi da ne pričamo... ",pozitivan,predivan domaćina predivan objekat čisto udobno srediti fenomenalan deca pogled prirod pričati
"Sve nam se dopalo, ljubazni domaćini, ukusan doručak, sadržaji za decu, lokacija...ocena od nas je 10+ 
Preporuka svima, vratićemo se kad-tad ponovo 🙂👍",,10,"Sve nam se dopalo, ljubazni domaćini, ukusan doručak, sadržaji za decu, lokacija...ocena od nas je 10+ 
Preporuka svima, vratićemo se kad-tad ponovo 🙂👍 ",pozitivan,sav dopasti ljubazan domaćina ukusan doručak sadržaj deca lokacijacin preporuka sav vratiti kadtad ponovo
Sve je fenomenalno! Gostoprimstvo domacina je za svaku pohvalu. Mozete da porucite dorucak ako zelite i domacini prave pravi domacinski dorucak.,Nema zamerki.,10,Sve je fenomenalno! Gostoprimstvo domacina je za svaku pohvalu. Mozete da porucite dorucak ako zelite i domacini prave pravi domacinski dorucak. Nema zamerki.,pozitivan,sav fenomenalan gostoprimstvo domacina svaki pohvala mozeta poruciti dorucak zeliti domaciniti praviti pravi domacinski dorucak nemati zamerka
"Izuzetno ljubazni domaćini, odlučna lokacija, divan pogled.",,10,"Izuzetno ljubazni domaćini, odlučna lokacija, divan pogled. ",pozitivan,izuzetno ljubazan domaćina odlučan lokacija divati pogled
"Jako ljubazni i srdačni domaćini, gostoprimstvo na najvišem nivou. Odlično mesto za odmor i uživanje u prirodi. Sve pohvale i preporuke!",,10,"Jako ljubazni i srdačni domaćini, gostoprimstvo na najvišem nivou. Odlično mesto za odmor i uživanje u prirodi. Sve pohvale i preporuke! ",pozitivan,jako ljubazan srdačni domaćina gostoprimstvo visok nivo odličan mesto odmor uživanje prirod sav pohvati preporuka
"[ENG] The host was extremely helpful, professional and friendly. The flat was tidy with all mod cons (incl. dishwasher, microwave, washing machine, balcony and many more other utilities). Fast internet, and good choice of TV channels. Very close to the city best spots, including trendy cafes, restouranunts, street food grills and shopping malls. Paticularly good for dental treatment and tourism arrangement - please contact the host for more details.

[SRB] Domaćin je bio vrlo ljubazan, profesionalan i od pomoći. Stan je bio vrlo uredan i potpuno opremljen (mašina za sudove, mikrotalasna, veš mašina, terasa i drugo). Bryi internet i dobar izbor TV kanala. Vrlo blizu centru i najboljim mestima za izlazak u gradu kao trendi kafići, restorani, kiosci sa roštiljom i šoping centri.  Domaćin će vam takođe objasniti sve u vezi kvalitetnog dentalnog tretmana i turizma.","[ENG] There are some building works nearby, generally this is the case across the city, but at no time it caused any problems. The sound isolation (double-glazed windows and doors) was fully satisfactory.

[SRB] Trenutno se grade nove zgrade u relativnoj blizini, kao uostalom i većem delu grada, ali ni u kom momentu to nije predstavljalo problem.  Zvučna izolacija (PVC pozori i vrata) je bila zadovoljavaljuća.",10,"[ENG] The host was extremely helpful, professional and friendly. The flat was tidy with all mod cons (incl. dishwasher, microwave, washing machine, balcony and many more other utilities). Fast internet, and good choice of TV channels. Very close to the city best spots, including trendy cafes, restouranunts, street food grills and shopping malls. Paticularly good for dental treatment and tourism arrangement - please contact the host for more details.

[SRB] Domaćin je bio vrlo ljubazan, profesionalan i od pomoći. Stan je bio vrlo uredan i potpuno opremljen (mašina za sudove, mikrotalasna, veš mašina, terasa i drugo). Bryi internet i dobar izbor TV kanala. Vrlo blizu centru i najboljim mestima za izlazak u gradu kao trendi kafići, restorani, kiosci sa roštiljom i šoping centri.  Domaćin će vam takođe objasniti sve u vezi kvalitetnog dentalnog tretmana i turizma. [ENG] There are some building works nearby, generally this is the case across the city, but at no time it caused any problems. The sound isolation (double-glazed windows and doors) was fully satisfactory.

[SRB] Trenutno se grade nove zgrade u relativnoj blizini, kao uostalom i većem delu grada, ali ni u kom momentu to nije predstavljalo problem.  Zvučna izolacija (PVC pozori i vrata) je bila zadovoljavaljuća.",pozitivan,eng the host was extremely helpful professional and friendly the flat was tidy with all mod cons incl dishwasher microwava washing machine balcony and many more other utilities fast internet and good choice of tv channels very close the city best spots including trendy cafes restouranunts street food grills and shopping malls paticularly good for dental treatment and tourism arrangement please contact the host for more detail srb domaćin ljubazan profesionalan pomoć stan uredan potpuno opremiti mašina sud mikrotalan veš mašina teras drugi bryi internet dobar izbor tv kanal centar dobar mesto izlazak grad kao trenda kafića restoran kiosac roštilj šoping centar domaćin takođe objasniti sav veza kvalitetan dentalan tretman turizam eng there are some building works nearby generally this is the case across the city but at no it caused any problems the sound isolatiti doubleglazed windows and doors was fully satisfactory srb trenutno graditi nov zgrada relativan blizina kao uostao velik deo grad moment predstavljati problem zvučan izolacija pvc pozor vrata zadovoljavaljuće
Odlicna lokacija. Prostrani stan sa garazom. Ljubazni domacin sa kojim je saradnja lagana. Sve preporuke,,10,Odlicna lokacija. Prostrani stan sa garazom. Ljubazni domacin sa kojim je saradnja lagana. Sve preporuke ,pozitivan,odlican lokacija prostraniti stan garaz ljubazan domacin saradnja laganati sav preporuka
Odličan prostor za više ljudi,,10,Odličan prostor za više ljudi ,pozitivan,odličan prostor mnogo čovek
Vrhunski smeštaj u centru grada. Čista desetka. Za svaku preporuku.,,10,Vrhunski smeštaj u centru grada. Čista desetka. Za svaku preporuku. ,pozitivan,vrhunski smeštaj centar grad čist desetka svaki preporuka
"Prostranost, čistoća, udobnost, komunikacija",Sve je bilo super,10,"Prostranost, čistoća, udobnost, komunikacija Sve je bilo super",pozitivan,prostranost čistoć udobnost komunikacija sav super
"Dobro opremljen smeštaj, sve je bilo u redu.",Ništa sto bi uticalo na utisak da je smeštaj odličan.,9,"Dobro opremljen smeštaj, sve je bilo u redu. Ništa sto bi uticalo na utisak da je smeštaj odličan.",pozitivan,dobro opremiti smeštaj sav red ništa sto uticati utisak smeštaj odličan
"Dobra lokacija, dobar smestaj, sve pohvale",,10,"Dobra lokacija, dobar smestaj, sve pohvale ",pozitivan,dobar lokacija dobar smestati sav pohvati
"Apartman je na odličnoj lokaciji, čist, uredan i lepo opremljen. Domaćin je veoma prijatan čovek lako smo se sve dogovorili. Čim bude bilo prilike dolazimo ponovo. Preporuka! :)",,10,"Apartman je na odličnoj lokaciji, čist, uredan i lepo opremljen. Domaćin je veoma prijatan čovek lako smo se sve dogovorili. Čim bude bilo prilike dolazimo ponovo. Preporuka! :) ",pozitivan,apartman odlični lokacija čist uredan lepo opremiti domaćin veoma prijatan čovek lako sav dogovoriti čim prilika dolaziti ponovo preporuka
"Fantasticna lokacija. Odlicna mesta za izlazak blok levo, a divan park za decu dva bloka desno. Cisto, komforno, usluzan i strucan domacin. Mi dosli u tranzitu za more, pa ponovo u povratku.",,10,"Fantasticna lokacija. Odlicna mesta za izlazak blok levo, a divan park za decu dva bloka desno. Cisto, komforno, usluzan i strucan domacin. Mi dosli u tranzitu za more, pa ponovo u povratku. ",pozitivan,fantastican lokacija odlican mesto izlazak blok levo divati park deca blok desno cisto komforno usluzan strucan domacin dosliti tranzit more ponovo povratak
"Blizu centra grada, cisto, domacin je bio ljubazan",Nemam zamerke,10,"Blizu centra grada, cisto, domacin je bio ljubazan Nemam zamerke",pozitivan,centar grad cisto domacin ljubazan nemati zamerka
"Apartman je jako lepo sredjen, cist i prostran, sa svim sadržajima koji su potrebni za boravak cak i duze, na odlicnom mestu u centru grada odakle se lako i brzo stizem pešice  do svih znamenitosti.
Ima obezbedjenu garazu koja se moze koristiti uz doplatu.",,10,"Apartman je jako lepo sredjen, cist i prostran, sa svim sadržajima koji su potrebni za boravak cak i duze, na odlicnom mestu u centru grada odakle se lako i brzo stizem pešice  do svih znamenitosti.
Ima obezbedjenu garazu koja se moze koristiti uz doplatu. ",pozitivan,apartman jako lepo srediti cist prostran sav sadržaj potreban boravak cak odlican mesto centar grad odakle lako brzo stizati pešica do sav znamenitost imati obezbediti garaz moći koristiti doplata
"Udoban i lepo opremljen smeštaj, privatan parking. Za svaku preporuku...",,10,"Udoban i lepo opremljen smeštaj, privatan parking. Za svaku preporuku... ",pozitivan,udoban lepo opremiti smeštaj privatan parking svaki preporuka
"Sjajan apartman, odlicna lokacija, garaza za parkiranje auta. Domacin jako ljubazan. Sve preporuke!",,10,"Sjajan apartman, odlicna lokacija, garaza za parkiranje auta. Domacin jako ljubazan. Sve preporuke! ",pozitivan,sjajan apartman odlican lokacija garazati parkiranje aut domaciti jako ljubazan sav preporuka
"I više nego zadovoljni, domaćin ljubazan, sačekao u dogovoreno vreme, dostupan za dogovor. Lokacija je odlična, bilo da ste u Nišu zbog odmora, ili posla. Apartman čist, sa svim sadržajima koji su potrebni. Lako ste stiže do lokacije sa autoputa, a garaža u sklopu objekta isključuje probleme oko traženja slobodnog parkinga u blizini.",,10,"I više nego zadovoljni, domaćin ljubazan, sačekao u dogovoreno vreme, dostupan za dogovor. Lokacija je odlična, bilo da ste u Nišu zbog odmora, ili posla. Apartman čist, sa svim sadržajima koji su potrebni. Lako ste stiže do lokacije sa autoputa, a garaža u sklopu objekta isključuje probleme oko traženja slobodnog parkinga u blizini. ",pozitivan,mnogo zadovoljan domaćin ljubazan sačeći dogovoriti vreme dostupan dogovor lokacija odličan niš zbog odmor posao apartman čist sav sadržaj potreban lako stizati do lokacija autoput garaž sklop objekt isključivati problem oko traženje slobodan parking blizina
"Lokacija je fenomenalna. Prekoputa zgrade ima pivnica Berta gde se moze doruckovati (hrana super), iza zgrade je prodavnica, u blizini ima i diskont pica, trafika i taksi stanica. Topla preporuka!",,9,"Lokacija je fenomenalna. Prekoputa zgrade ima pivnica Berta gde se moze doruckovati (hrana super), iza zgrade je prodavnica, u blizini ima i diskont pica, trafika i taksi stanica. Topla preporuka! ",pozitivan,lokacija fenomenalan prekoput zgrada imati pivnica bert moći doruckovati hran super zgrada prodavnica blizina imati diskont pice trafika taksi stanica topla preporuka
"Extra stancic,prostran,moderan,kuhinja ima sve,super lokacija,parking u garazi zgrade,domacin za svaki dogovor..",,10,"Extra stancic,prostran,moderan,kuhinja ima sve,super lokacija,parking u garazi zgrade,domacin za svaki dogovor.. ",pozitivan,extra stancicprostrahenjedinje imati svesuper lokacijaparking garaz zgradedomacin svaki dogovor
"Centar grada,odlična usluga.
Niš predivan grad za upoznati.",,10,"Centar grada,odlična usluga.
Niš predivan grad za upoznati. ",pozitivan,centar gradaodlični usluga niš predivan grad upoznati
Sve,,10,Sve ,pozitivan,sav
Top,,10,Top ,pozitivan,top
Domaćin opušten i prijatan. Spreman za svaki dogovor.,,10,Domaćin opušten i prijatan. Spreman za svaki dogovor. ,pozitivan,domaćin opustiti prijatan spreman svaki dogovor
"Odlična lokacija, ljubazan domaćin.",,10,"Odlična lokacija, ljubazan domaćin. ",pozitivan,odličan lokacija ljubazan domaćin
"Petar je pravi domacin, docekao nas kod zgrade, uveo u garazu, zatim u apartman, sve sa osmehom na licu. Pokazao nam smestaj, objasnio sve sto treba da znamo, malo popricao sa nama, ponudio nas rakijom i zatim otisao dalje sa komentarom da sta god nam treba da ga slobodno zovemo. Savrsen balans prijatnosti i ne zabadanja nosa :)
Lep apartman, udobni kreveti, odlicna lokacija.
Preporuka i za kafic berta prekoputa sa odlicnom klopom, izborom piva i super atmosferom.","Tag za otvaranje vrata radi samo na zadnjem ulazu u zgradu, ako cemo da sitnicarimo :)",10,"Petar je pravi domacin, docekao nas kod zgrade, uveo u garazu, zatim u apartman, sve sa osmehom na licu. Pokazao nam smestaj, objasnio sve sto treba da znamo, malo popricao sa nama, ponudio nas rakijom i zatim otisao dalje sa komentarom da sta god nam treba da ga slobodno zovemo. Savrsen balans prijatnosti i ne zabadanja nosa :)
Lep apartman, udobni kreveti, odlicna lokacija.
Preporuka i za kafic berta prekoputa sa odlicnom klopom, izborom piva i super atmosferom. Tag za otvaranje vrata radi samo na zadnjem ulazu u zgradu, ako cemo da sitnicarimo :)",pozitivan,petar pravi domacin docećati kod zgrada uvesti garaz zatim apartman sav osmeha lice pokazati smestaj objasniti sav sto trebati malo popricati ponuditi rakija zatim otisati daleko komentar god trebati slobodno zovesti savrsiti balans prijatnost zabadanje nos lep apartman udoban kreveti odlican lokacija preporuka kafic bert prekoput odlican klopa izbor pive super atmosfera tag otvaranje vrata raditi zadnji ulaz zgrada cemoti sitnicariti
"Lokacija, garaza, sadrzaji...sve je super.",,10,"Lokacija, garaza, sadrzaji...sve je super. ",pozitivan,lokacija garaz sadrzajisvo super
"Prelep i prostran stan, vlasnik odlican i sklon svakom dogovoru, spreman da izadje u susret gostima maksimalno. Sve pohvale za apartman!",,10,"Prelep i prostran stan, vlasnik odlican i sklon svakom dogovoru, spreman da izadje u susret gostima maksimalno. Sve pohvale za apartman! ",pozitivan,prelep prostran stan vlasnik odlicati sklon svaki dogovor spreman izadjati susret gost maksimalno sav pohvati apart n
Apartman za svaku pohvalu i preporuku!,,9,Apartman za svaku pohvalu i preporuku! ,pozitivan,apartman svaki pohvala preporuka
"Lokacija u samom centru, čist apartman, odličan za 5-6 osoba!
Svideo nam se i parking u garaži, kao i laka komunikacija sa domaćinom. Preporuke!",,10,"Lokacija u samom centru, čist apartman, odličan za 5-6 osoba!
Svideo nam se i parking u garaži, kao i laka komunikacija sa domaćinom. Preporuke! ",pozitivan,lokacija centar čist apartman odličan osoba svideti parking garaž kao lak komunikacija domaćina preporuka
"Stan pristojono sredjen,moderno i udobno.","Odrzavanje stana,higijena kuhinje i kupatila na veoma niskom nivou.Bila sam sa decom i jako mi je bitna cistoca,na zalost po tom pitanju razocarana...",8,"Stan pristojono sredjen,moderno i udobno. Odrzavanje stana,higijena kuhinje i kupatila na veoma niskom nivou.Bila sam sa decom i jako mi je bitna cistoca,na zalost po tom pitanju razocarana...",pozitivan,stan pristojono sredjenmoderan udoban odrzavanje stanahigijen kuhinje kupatilo veoma nizak nivoubiti deca jako bitan cistocan zalost pitanje razocarati
"Lokacija je odlična, mirno mesto i jako blizu glavnog jezgra grada.",,10,"Lokacija je odlična, mirno mesto i jako blizu glavnog jezgra grada. ",pozitivan,lokacija odličan miran mesto jako glavni jezgra grad
