positive,negative,rating,comments
"Sve pohvale za apartman. Higijena na zavidnom nivou. Lokacija savršena,bukvalno vam je sve na dohvat ruke. Sve pohvale za osoblje na recepciji koji su tu za vas 24 sata. Rado ću opet da se vratim. I preporuka za sve one koje žele savršen odmor i uživanje.",,10,"Sve pohvale za apartman. Higijena na zavidnom nivou. Lokacija savršena,bukvalno vam je sve na dohvat ruke. Sve pohvale za osoblje na recepciji koji su tu za vas 24 sata. Rado ću opet da se vratim. I preporuka za sve one koje žele savršen odmor i uživanje. "
Sve ..,,10,Sve .. 
"Sve je izvanredno, osoblje, smestaj, cistoca, udobnost i prostranost. Uvek cu se rado vratiti.",,10,"Sve je izvanredno, osoblje, smestaj, cistoca, udobnost i prostranost. Uvek cu se rado vratiti. "
"Izuzetno cisto, apartman opremljen sa svim sto je potrebno, lokacija izvanredna",Problem s tusem na kojem je teko regulisati toplotu vode,10,"Izuzetno cisto, apartman opremljen sa svim sto je potrebno, lokacija izvanredna Problem s tusem na kojem je teko regulisati toplotu vode"
"Prostrana jedinica, ima sve sto je potrebno od sadrzaja.
Cisto i udobno",Cena moze biti malo povoljnija,9,"Prostrana jedinica, ima sve sto je potrebno od sadrzaja.
Cisto i udobno Cena moze biti malo povoljnija"
Lokacija,"Taman, poluuredno, u trosed smo nasli stravi od predhodnih vlasnika, posteljina iscepana.",7,"Lokacija Taman, poluuredno, u trosed smo nasli stravi od predhodnih vlasnika, posteljina iscepana."
"Lokacija, velicina apartmana, enterijer je ok, ali ne i u skladu sa cenom.","1. Cistoca - povedite racuna o cistoci kupatila
2. zaposlena je naplatila boravisnu taksu samo zato sto ne zna a ocita licnu kartu - misli da je ocitavanje isto sto i skeniranje, ne zna za pojam ""ocitati licnu kartu"" (adresa sa cipa je iz Beograda i taksa nije podlozna placanju samim tim, pa je imala komentar ""jel vam skupo da platite taksu"" - nije poenta u ceni vec poznavanju rada i ljubaznosti)
3. Naplata paodrkinga od 10e od uvece do ujutru je neprihvatljiva, narocito sto nije parking u garazi vec je auto bio izlozen na suncu
4. Cena vs kvalitet usluge nije relevantna",6,"Lokacija, velicina apartmana, enterijer je ok, ali ne i u skladu sa cenom. 1. Cistoca - povedite racuna o cistoci kupatila
2. zaposlena je naplatila boravisnu taksu samo zato sto ne zna a ocita licnu kartu - misli da je ocitavanje isto sto i skeniranje, ne zna za pojam ""ocitati licnu kartu"" (adresa sa cipa je iz Beograda i taksa nije podlozna placanju samim tim, pa je imala komentar ""jel vam skupo da platite taksu"" - nije poenta u ceni vec poznavanju rada i ljubaznosti)
3. Naplata paodrkinga od 10e od uvece do ujutru je neprihvatljiva, narocito sto nije parking u garazi vec je auto bio izlozen na suncu
4. Cena vs kvalitet usluge nije relevantna"
,"Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju.",1," Razočaran, apartman u drugoj zgradi ne u toj gde sam rezervisao a niko me o tome nije obavestio. Bitno im je izgleda samo da uzmu novac. Tuš kabina premalena,vrata na tuš kabini spala tokom tuširanja,vrata od frižidera skoro pa otpala,svetlo kada klikneš na prekidač da ga upališ samo što ne eksplodira a svetlo svakako ne radi blinka samo kao da ste u diskoteci. Kada sam otvorio ladicu u kojoj stoje noževi  viljuške i kašike da uzmem kašiku morao sam prvo da je operem pa zatim da istu koristim,neverovatno. A prilikom odjavljivanja niko se nije udostojio da te pita kakav je bio boravak da li je sve bilo u redu, ipak ste dobili sobu u drugoj zgradi, jeste li zadovoljni. Ne preporučujem nikom da boravi u ovom smeštaju."
Sve je bilo savrseno! Sigurno cemo doci ponovo ❤️,,10,Sve je bilo savrseno! Sigurno cemo doci ponovo ❤️ 
Dorucak je bio ok.,Sve je bilo bozanstveno . ❤️,10,Dorucak je bio ok. Sve je bilo bozanstveno . ❤️
,Slaba klimatizacija sobe,8, Slaba klimatizacija sobe
Dorucak je bio izuzetan,,9,Dorucak je bio izuzetan 
"Provela sam u Woodlandu noc pre i noc posle svadbe. Osoblje je izuzetno. Dozvolili su da dodje fotograf da nas slika, imali smo ceo Resort na raspolaganju.",,10,"Provela sam u Woodlandu noc pre i noc posle svadbe. Osoblje je izuzetno. Dozvolili su da dodje fotograf da nas slika, imali smo ceo Resort na raspolaganju. "
Sve je bilo izvrsno. Osoblje je preljubazno. Sigurno ćemo se ponovo vratiti.,,10,Sve je bilo izvrsno. Osoblje je preljubazno. Sigurno ćemo se ponovo vratiti. 
Osoblje je izuzetno ljubazno. Sadrzaj resorta je veoma dobar.,,9,Osoblje je izuzetno ljubazno. Sadrzaj resorta je veoma dobar. 
bazen je odlican apartman takodje osoblje vrlo korektno pozicija objekta odlicna sadrzaj dobar,,8,bazen je odlican apartman takodje osoblje vrlo korektno pozicija objekta odlicna sadrzaj dobar 
"Interesantna lokacija, rustičnim stil, dovoljno prostora","Paučina, prašina, neudoban dušek. Tokom noći nije bilo vode.",5,"Interesantna lokacija, rustičnim stil, dovoljno prostora Paučina, prašina, neudoban dušek. Tokom noći nije bilo vode."
"Dorucak je odlican, bogat, lepo spremljen uvek, osoblje je jako ljubazno i zeli da izadje u susret. Sobe su kada se dodje uredne, posteljina koju gosti dobiju je cista, ima peskira, bade mantila, peskira za bazen. Bazen izgleda divno, danju a i nocu sa osvetljenjem. Hrana je generalno odlicna.","Bazen je bio prehladan, svakoga dana, neocekivano za letnji period sa jakim vrucinama. Vodokotlic radi na gurku, nije da ne radi ali mora da se pogura sa premestanjem i pozicioniranjem. Vikendom su zurke i to je lepo napisano i najavljeno ali izgleda da su i radnim danima, jedno vece je bilo do 1 i ne toliko glasno, dok je na primer u sredu bilo jako glasno sa ekipom mladih ljudi koji su pustali muziku i drali se do 04. Nije zahvalno za radni odmor. Niko nije menjao posteljinu, peskire, sredjivao sobu, iznosio djubre, to izgleda da je izostavljeno skroz iz usluge.",7,"Dorucak je odlican, bogat, lepo spremljen uvek, osoblje je jako ljubazno i zeli da izadje u susret. Sobe su kada se dodje uredne, posteljina koju gosti dobiju je cista, ima peskira, bade mantila, peskira za bazen. Bazen izgleda divno, danju a i nocu sa osvetljenjem. Hrana je generalno odlicna. Bazen je bio prehladan, svakoga dana, neocekivano za letnji period sa jakim vrucinama. Vodokotlic radi na gurku, nije da ne radi ali mora da se pogura sa premestanjem i pozicioniranjem. Vikendom su zurke i to je lepo napisano i najavljeno ali izgleda da su i radnim danima, jedno vece je bilo do 1 i ne toliko glasno, dok je na primer u sredu bilo jako glasno sa ekipom mladih ljudi koji su pustali muziku i drali se do 04. Nije zahvalno za radni odmor. Niko nije menjao posteljinu, peskire, sredjivao sobu, iznosio djubre, to izgleda da je izostavljeno skroz iz usluge."
"Predivni domaćini, predivni objekti, čisto, udobno, sređeno, fenomenalno za decu. O pogledu i prirodi da ne pričamo...",,10,"Predivni domaćini, predivni objekti, čisto, udobno, sređeno, fenomenalno za decu. O pogledu i prirodi da ne pričamo... "
"Sve nam se dopalo, ljubazni domaćini, ukusan doručak, sadržaji za decu, lokacija...ocena od nas je 10+ 
Preporuka svima, vratićemo se kad-tad ponovo 🙂👍",,10,"Sve nam se dopalo, ljubazni domaćini, ukusan doručak, sadržaji za decu, lokacija...ocena od nas je 10+ 
Preporuka svima, vratićemo se kad-tad ponovo 🙂👍 "
Sve je fenomenalno! Gostoprimstvo domacina je za svaku pohvalu. Mozete da porucite dorucak ako zelite i domacini prave pravi domacinski dorucak.,Nema zamerki.,10,Sve je fenomenalno! Gostoprimstvo domacina je za svaku pohvalu. Mozete da porucite dorucak ako zelite i domacini prave pravi domacinski dorucak. Nema zamerki.
"Izuzetno ljubazni domaćini, odlučna lokacija, divan pogled.",,10,"Izuzetno ljubazni domaćini, odlučna lokacija, divan pogled. "
"Jako ljubazni i srdačni domaćini, gostoprimstvo na najvišem nivou. Odlično mesto za odmor i uživanje u prirodi. Sve pohvale i preporuke!",,10,"Jako ljubazni i srdačni domaćini, gostoprimstvo na najvišem nivou. Odlično mesto za odmor i uživanje u prirodi. Sve pohvale i preporuke! "
"[ENG] The host was extremely helpful, professional and friendly. The flat was tidy with all mod cons (incl. dishwasher, microwave, washing machine, balcony and many more other utilities). Fast internet, and good choice of TV channels. Very close to the city best spots, including trendy cafes, restouranunts, street food grills and shopping malls. Paticularly good for dental treatment and tourism arrangement - please contact the host for more details.

[SRB] Domaćin je bio vrlo ljubazan, profesionalan i od pomoći. Stan je bio vrlo uredan i potpuno opremljen (mašina za sudove, mikrotalasna, veš mašina, terasa i drugo). Bryi internet i dobar izbor TV kanala. Vrlo blizu centru i najboljim mestima za izlazak u gradu kao trendi kafići, restorani, kiosci sa roštiljom i šoping centri.  Domaćin će vam takođe objasniti sve u vezi kvalitetnog dentalnog tretmana i turizma.","[ENG] There are some building works nearby, generally this is the case across the city, but at no time it caused any problems. The sound isolation (double-glazed windows and doors) was fully satisfactory.

[SRB] Trenutno se grade nove zgrade u relativnoj blizini, kao uostalom i većem delu grada, ali ni u kom momentu to nije predstavljalo problem.  Zvučna izolacija (PVC pozori i vrata) je bila zadovoljavaljuća.",10,"[ENG] The host was extremely helpful, professional and friendly. The flat was tidy with all mod cons (incl. dishwasher, microwave, washing machine, balcony and many more other utilities). Fast internet, and good choice of TV channels. Very close to the city best spots, including trendy cafes, restouranunts, street food grills and shopping malls. Paticularly good for dental treatment and tourism arrangement - please contact the host for more details.

[SRB] Domaćin je bio vrlo ljubazan, profesionalan i od pomoći. Stan je bio vrlo uredan i potpuno opremljen (mašina za sudove, mikrotalasna, veš mašina, terasa i drugo). Bryi internet i dobar izbor TV kanala. Vrlo blizu centru i najboljim mestima za izlazak u gradu kao trendi kafići, restorani, kiosci sa roštiljom i šoping centri.  Domaćin će vam takođe objasniti sve u vezi kvalitetnog dentalnog tretmana i turizma. [ENG] There are some building works nearby, generally this is the case across the city, but at no time it caused any problems. The sound isolation (double-glazed windows and doors) was fully satisfactory.

[SRB] Trenutno se grade nove zgrade u relativnoj blizini, kao uostalom i većem delu grada, ali ni u kom momentu to nije predstavljalo problem.  Zvučna izolacija (PVC pozori i vrata) je bila zadovoljavaljuća."
Odlicna lokacija. Prostrani stan sa garazom. Ljubazni domacin sa kojim je saradnja lagana. Sve preporuke,,10,Odlicna lokacija. Prostrani stan sa garazom. Ljubazni domacin sa kojim je saradnja lagana. Sve preporuke 
Odličan prostor za više ljudi,,10,Odličan prostor za više ljudi 
Vrhunski smeštaj u centru grada. Čista desetka. Za svaku preporuku.,,10,Vrhunski smeštaj u centru grada. Čista desetka. Za svaku preporuku. 
"Prostranost, čistoća, udobnost, komunikacija",Sve je bilo super,10,"Prostranost, čistoća, udobnost, komunikacija Sve je bilo super"
"Dobro opremljen smeštaj, sve je bilo u redu.",Ništa sto bi uticalo na utisak da je smeštaj odličan.,9,"Dobro opremljen smeštaj, sve je bilo u redu. Ništa sto bi uticalo na utisak da je smeštaj odličan."
"Dobra lokacija, dobar smestaj, sve pohvale",,10,"Dobra lokacija, dobar smestaj, sve pohvale "
"Apartman je na odličnoj lokaciji, čist, uredan i lepo opremljen. Domaćin je veoma prijatan čovek lako smo se sve dogovorili. Čim bude bilo prilike dolazimo ponovo. Preporuka! :)",,10,"Apartman je na odličnoj lokaciji, čist, uredan i lepo opremljen. Domaćin je veoma prijatan čovek lako smo se sve dogovorili. Čim bude bilo prilike dolazimo ponovo. Preporuka! :) "
"Fantasticna lokacija. Odlicna mesta za izlazak blok levo, a divan park za decu dva bloka desno. Cisto, komforno, usluzan i strucan domacin. Mi dosli u tranzitu za more, pa ponovo u povratku.",,10,"Fantasticna lokacija. Odlicna mesta za izlazak blok levo, a divan park za decu dva bloka desno. Cisto, komforno, usluzan i strucan domacin. Mi dosli u tranzitu za more, pa ponovo u povratku. "
"Blizu centra grada, cisto, domacin je bio ljubazan",Nemam zamerke,10,"Blizu centra grada, cisto, domacin je bio ljubazan Nemam zamerke"
"Apartman je jako lepo sredjen, cist i prostran, sa svim sadržajima koji su potrebni za boravak cak i duze, na odlicnom mestu u centru grada odakle se lako i brzo stizem pešice  do svih znamenitosti.
Ima obezbedjenu garazu koja se moze koristiti uz doplatu.",,10,"Apartman je jako lepo sredjen, cist i prostran, sa svim sadržajima koji su potrebni za boravak cak i duze, na odlicnom mestu u centru grada odakle se lako i brzo stizem pešice  do svih znamenitosti.
Ima obezbedjenu garazu koja se moze koristiti uz doplatu. "
"Udoban i lepo opremljen smeštaj, privatan parking. Za svaku preporuku...",,10,"Udoban i lepo opremljen smeštaj, privatan parking. Za svaku preporuku... "
"Sjajan apartman, odlicna lokacija, garaza za parkiranje auta. Domacin jako ljubazan. Sve preporuke!",,10,"Sjajan apartman, odlicna lokacija, garaza za parkiranje auta. Domacin jako ljubazan. Sve preporuke! "
"I više nego zadovoljni, domaćin ljubazan, sačekao u dogovoreno vreme, dostupan za dogovor. Lokacija je odlična, bilo da ste u Nišu zbog odmora, ili posla. Apartman čist, sa svim sadržajima koji su potrebni. Lako ste stiže do lokacije sa autoputa, a garaža u sklopu objekta isključuje probleme oko traženja slobodnog parkinga u blizini.",,10,"I više nego zadovoljni, domaćin ljubazan, sačekao u dogovoreno vreme, dostupan za dogovor. Lokacija je odlična, bilo da ste u Nišu zbog odmora, ili posla. Apartman čist, sa svim sadržajima koji su potrebni. Lako ste stiže do lokacije sa autoputa, a garaža u sklopu objekta isključuje probleme oko traženja slobodnog parkinga u blizini. "
"Lokacija je fenomenalna. Prekoputa zgrade ima pivnica Berta gde se moze doruckovati (hrana super), iza zgrade je prodavnica, u blizini ima i diskont pica, trafika i taksi stanica. Topla preporuka!",,9,"Lokacija je fenomenalna. Prekoputa zgrade ima pivnica Berta gde se moze doruckovati (hrana super), iza zgrade je prodavnica, u blizini ima i diskont pica, trafika i taksi stanica. Topla preporuka! "
"Extra stancic,prostran,moderan,kuhinja ima sve,super lokacija,parking u garazi zgrade,domacin za svaki dogovor..",,10,"Extra stancic,prostran,moderan,kuhinja ima sve,super lokacija,parking u garazi zgrade,domacin za svaki dogovor.. "
"Centar grada,odlična usluga.
Niš predivan grad za upoznati.",,10,"Centar grada,odlična usluga.
Niš predivan grad za upoznati. "
Sve,,10,Sve 
Top,,10,Top 
Domaćin opušten i prijatan. Spreman za svaki dogovor.,,10,Domaćin opušten i prijatan. Spreman za svaki dogovor. 
"Odlična lokacija, ljubazan domaćin.",,10,"Odlična lokacija, ljubazan domaćin. "
"Petar je pravi domacin, docekao nas kod zgrade, uveo u garazu, zatim u apartman, sve sa osmehom na licu. Pokazao nam smestaj, objasnio sve sto treba da znamo, malo popricao sa nama, ponudio nas rakijom i zatim otisao dalje sa komentarom da sta god nam treba da ga slobodno zovemo. Savrsen balans prijatnosti i ne zabadanja nosa :)
Lep apartman, udobni kreveti, odlicna lokacija.
Preporuka i za kafic berta prekoputa sa odlicnom klopom, izborom piva i super atmosferom.","Tag za otvaranje vrata radi samo na zadnjem ulazu u zgradu, ako cemo da sitnicarimo :)",10,"Petar je pravi domacin, docekao nas kod zgrade, uveo u garazu, zatim u apartman, sve sa osmehom na licu. Pokazao nam smestaj, objasnio sve sto treba da znamo, malo popricao sa nama, ponudio nas rakijom i zatim otisao dalje sa komentarom da sta god nam treba da ga slobodno zovemo. Savrsen balans prijatnosti i ne zabadanja nosa :)
Lep apartman, udobni kreveti, odlicna lokacija.
Preporuka i za kafic berta prekoputa sa odlicnom klopom, izborom piva i super atmosferom. Tag za otvaranje vrata radi samo na zadnjem ulazu u zgradu, ako cemo da sitnicarimo :)"
"Lokacija, garaza, sadrzaji...sve je super.",,10,"Lokacija, garaza, sadrzaji...sve je super. "
"Prelep i prostran stan, vlasnik odlican i sklon svakom dogovoru, spreman da izadje u susret gostima maksimalno. Sve pohvale za apartman!",,10,"Prelep i prostran stan, vlasnik odlican i sklon svakom dogovoru, spreman da izadje u susret gostima maksimalno. Sve pohvale za apartman! "
Apartman za svaku pohvalu i preporuku!,,9,Apartman za svaku pohvalu i preporuku! 
"Lokacija u samom centru, čist apartman, odličan za 5-6 osoba!
Svideo nam se i parking u garaži, kao i laka komunikacija sa domaćinom. Preporuke!",,10,"Lokacija u samom centru, čist apartman, odličan za 5-6 osoba!
Svideo nam se i parking u garaži, kao i laka komunikacija sa domaćinom. Preporuke! "
"Stan pristojono sredjen,moderno i udobno.","Odrzavanje stana,higijena kuhinje i kupatila na veoma niskom nivou.Bila sam sa decom i jako mi je bitna cistoca,na zalost po tom pitanju razocarana...",8,"Stan pristojono sredjen,moderno i udobno. Odrzavanje stana,higijena kuhinje i kupatila na veoma niskom nivou.Bila sam sa decom i jako mi je bitna cistoca,na zalost po tom pitanju razocarana..."
"Lokacija je odlična, mirno mesto i jako blizu glavnog jezgra grada.",,10,"Lokacija je odlična, mirno mesto i jako blizu glavnog jezgra grada. "
"Fenomenalan smestaj, vlasnik ljubazan, izasao nam je u susret za sve, cak je i doneo dodatne igracke da nasem malcu bude kao kod kuce. Prezadoboljni smo i svima najtoplije preporucujemo.",,10,"Fenomenalan smestaj, vlasnik ljubazan, izasao nam je u susret za sve, cak je i doneo dodatne igracke da nasem malcu bude kao kod kuce. Prezadoboljni smo i svima najtoplije preporucujemo. "
Domaćin koji se trudio da sve protekne u najboljem redu.Siguran sam da ću i sledeći put odsesti na istom mestu,,10,Domaćin koji se trudio da sve protekne u najboljem redu.Siguran sam da ću i sledeći put odsesti na istom mestu 
"lokacija, udobnost",ostala je enigma kako se uključuje radijator u kupatilu,8,"lokacija, udobnost ostala je enigma kako se uključuje radijator u kupatilu"
"Одличан апартман за туристе у Нишу. Добро опремљен, локација близу центра идеална за посјету главним садржајима града Ниша. Власник апартмана веома љубазан и услужан. Препорука свима.",,10,"Одличан апартман за туристе у Нишу. Добро опремљен, локација близу центра идеална за посјету главним садржајима града Ниша. Власник апартмана веома љубазан и услужан. Препорука свима. "
"Čisto i uredno.
Blizu centra i tržnih centara.

Vlasnik veoma ljubazan.",,10,"Čisto i uredno.
Blizu centra i tržnih centara.

Vlasnik veoma ljubazan. "
"Lokacija, raspored u stanu, opremljenost.
Ljubazan domaćin. Parking mesto u garaži.",Nije bio dobro očišćen stan od prethodnih gostiju.,7,"Lokacija, raspored u stanu, opremljenost.
Ljubazan domaćin. Parking mesto u garaži. Nije bio dobro očišćen stan od prethodnih gostiju."
Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo.,Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo. Sve u svemu blagi užas od vlasnika. Velika negativna ocena. Da pripazw ljudi koji odlaze kod istog čoveka,5,Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo. Ništa nam se nije dopalo vlasnik stana nam je ulazio u apartman brljao dok mi nismo bili tu. gasio klimu i grejanje. Zaključava smeštaj kada je on to hteo i slično tome. Molim. Booking da sankcionise ovo. Sve u svemu blagi užas od vlasnika. Velika negativna ocena. Da pripazw ljudi koji odlaze kod istog čoveka
Lokacija je dobra,"Cena na na sajtu i vlasnikova se razlikovala ,jos je i dodatno naplatio parking u objektu.",2,"Lokacija je dobra Cena na na sajtu i vlasnikova se razlikovala ,jos je i dodatno naplatio parking u objektu."
"Svaka preporuka za boravak, apartmani su neverovatno uredni i lepo uredjeni. Veoma lak dogovor :)",,10,"Svaka preporuka za boravak, apartmani su neverovatno uredni i lepo uredjeni. Veoma lak dogovor :) "
"Divan apartman, moderan, cist. Vlasnik izuzetno ljubazan i predusretljiv. Za svaku preporuku!",,10,"Divan apartman, moderan, cist. Vlasnik izuzetno ljubazan i predusretljiv. Za svaku preporuku! "
Prijatan i udoban apartman. Brz i jednostavan check-in.,Deo posudja je bio prljav kada smo dosli. :(,9,Prijatan i udoban apartman. Brz i jednostavan check-in. Deo posudja je bio prljav kada smo dosli. :(
Sve preporuke,,10,Sve preporuke 
"Zaista je čista desetka , a po našem mišljenju i više od toga. Sve preporuke za apartman i domaćina . Uživali smo . Do skorog viđenja 😀",,10,"Zaista je čista desetka , a po našem mišljenju i više od toga. Sve preporuke za apartman i domaćina . Uživali smo . Do skorog viđenja 😀 "
Sve u apartmanu je bilo savršeno i vlasnik je predusretljiv i ljubazan! Najviše nam se svidela kada :),,10,Sve u apartmanu je bilo savršeno i vlasnik je predusretljiv i ljubazan! Najviše nam se svidela kada :) 
"Veoma cisto, lokacija odlicna, smestaj veoma udoban.",,10,"Veoma cisto, lokacija odlicna, smestaj veoma udoban. "
Apsolutno sve je bilo odlično! Smeštaj za svaku preporuku! Posebna pohvala za self check in!,,10,Apsolutno sve je bilo odlično! Smeštaj za svaku preporuku! Posebna pohvala za self check in! 
Apartman je super kao i lokacija. Odlicna komunikacija sa domacinom.,,10,Apartman je super kao i lokacija. Odlicna komunikacija sa domacinom. 
Izuzetno čisto i komforno.,,10,Izuzetno čisto i komforno. 
Sve je bilo kako treba. Ne znanm kakve su cene sliČnih aartmana u NS.,"Još jednom solidna lokacija,izvanredan apartman .........",10,"Sve je bilo kako treba. Ne znanm kakve su cene sliČnih aartmana u NS. Još jednom solidna lokacija,izvanredan apartman ........."
"Divan apartman, opravdava svoje ime... Cisto, moderno uredjeno, opremljeno za odmor i rad. Odlicna lokacija. Sve preporuke!",,10,"Divan apartman, opravdava svoje ime... Cisto, moderno uredjeno, opremljeno za odmor i rad. Odlicna lokacija. Sve preporuke! "
Sve preporuke!!!!Cista 10!!!,,10,Sve preporuke!!!!Cista 10!!! 
"Cisto, udobno, dobro opremljeno, ljubazni domacini",-,10,"Cisto, udobno, dobro opremljeno, ljubazni domacini -"
"LJubazan domacin, odlican smestaj, dobra lokacija, niska cena, komunikativan domacin spreman da pomogne, ako opet putujem u tom pravcu sigurno cu se opet obratiti za smestaj u tom objektu.","Nemam primedbi, sve je kako je obecano",10,"LJubazan domacin, odlican smestaj, dobra lokacija, niska cena, komunikativan domacin spreman da pomogne, ako opet putujem u tom pravcu sigurno cu se opet obratiti za smestaj u tom objektu. Nemam primedbi, sve je kako je obecano"
Stigao sam u veoma kasno ali to nije bio nikakav problem,,10,Stigao sam u veoma kasno ali to nije bio nikakav problem 
"Sve je prelepo i cisto. Apartman izuzetno prostran i udoban,vlasnici predusretljivi i ljubazni",Jedina zamerka ako uopste moze biti zamerka je sto nema roletne na prozorima vec venecijanere,10,"Sve je prelepo i cisto. Apartman izuzetno prostran i udoban,vlasnici predusretljivi i ljubazni Jedina zamerka ako uopste moze biti zamerka je sto nema roletne na prozorima vec venecijanere"
"Jako prijatni domaćini, apartman je lepo opremljen i funkcionalan. Rado bih ponovo odseo ovde",,10,"Jako prijatni domaćini, apartman je lepo opremljen i funkcionalan. Rado bih ponovo odseo ovde "
"Smeštaj odličan, domaćini super i ponovo bih išao tamo",Sve nam se dopalo,10,"Smeštaj odličan, domaćini super i ponovo bih išao tamo Sve nam se dopalo"
"Izuzetno, prostran, lep i čist objekat. Predusretljivi domaćini. Laka i brza komunikacija. Mir i tišina.","Jastuci su isuviše mekani. Grejanje je, za moj ukus, preterano.",9,"Izuzetno, prostran, lep i čist objekat. Predusretljivi domaćini. Laka i brza komunikacija. Mir i tišina. Jastuci su isuviše mekani. Grejanje je, za moj ukus, preterano."
"Objekat je čist, prostran, poseduje sve što je potrebno za boravak porodice. Domaćini su izuzetno ljubazni i uslužni. Prelepo dvorište i još lepše terase prepune cveća. I kao poseban dodatak, mali, beli zeka da razveseli  dečicu.",,10,"Objekat je čist, prostran, poseduje sve što je potrebno za boravak porodice. Domaćini su izuzetno ljubazni i uslužni. Prelepo dvorište i još lepše terase prepune cveća. I kao poseban dodatak, mali, beli zeka da razveseli  dečicu. "
"Cistoca apartmana, lak dogovor sa gazdom oko svega! Xbox klincima :)",,10,"Cistoca apartmana, lak dogovor sa gazdom oko svega! Xbox klincima :) "
Konforan prostor,,10,Konforan prostor 
"Lokacija, prostranost, opremljenost, podno grejanje i parking",---,10,"Lokacija, prostranost, opremljenost, podno grejanje i parking ---"
